"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"[PASS] Điểm SEO: 80/100 | Đạt: 36/45 tiêu chí | Ngưỡng: 70%

TỐT","7764","Kiểm tra SEO Onpage: PHỤ KIỆN","","2026-07-23","passed","2026-07-23","SEO TIÊU CHUẨN CƠ BẢN CHO WEB","seo.spec.ts","",""
"[PASS] Điểm SEO: 80/100 | Đạt: 36/45 tiêu chí | Ngưỡng: 70%

TỐT","11227","Kiểm tra SEO Onpage: ÁO HOODIE","","2026-07-23","passed","2026-07-23","SEO TIÊU CHUẨN CƠ BẢN CHO WEB","seo.spec.ts","",""
"[FAIL] Điểm SEO: 52/100 | Đạt: 17/33 tiêu chí | Ngưỡng: 60%

TRUNG BÌNH","35112","[Advanced] Kiểm tra SEO chuyên sâu: MẮT KÍNH","","2026-07-23","failed","2026-07-23","SEO TIÊU CHUẨN CHUYÊN SÂU (ADVANCED) — PHẦN B","seo-advanced.spec.ts","",""
"[FAIL] Điểm SEO: 50/100 | Đạt: 17/34 tiêu chí | Ngưỡng: 60%

TRUNG BÌNH","39255","[Advanced] Kiểm tra SEO chuyên sâu: ÁO NỈ - SWEATER","","2026-07-23","failed","2026-07-23","SEO TIÊU CHUẨN CHUYÊN SÂU (ADVANCED) — PHẦN B","seo-advanced.spec.ts","",""
"[FAIL] Điểm SEO: 59/100 | Đạt: 20/34 tiêu chí | Ngưỡng: 60%

TRUNG BÌNH","12165","[Advanced] Kiểm tra SEO chuyên sâu: Disney | Mickey & Friend","","2026-07-23","failed","2026-07-23","SEO TIÊU CHUẨN CHUYÊN SÂU (ADVANCED) — PHẦN B","seo-advanced.spec.ts","",""
"[FAIL] Điểm SEO: 55/100 | Đạt: 18/33 tiêu chí | Ngưỡng: 60%

TRUNG BÌNH","10215","[Advanced] Kiểm tra SEO chuyên sâu: AIRFLEX™","","2026-07-23","failed","2026-07-23","SEO TIÊU CHUẨN CHUYÊN SÂU (ADVANCED) — PHẦN B","seo-advanced.spec.ts","",""
"[PASS] Điểm SEO: 84/100 | Đạt: 38/45 tiêu chí | Ngưỡng: 70%

TỐT","16214","Kiểm tra SEO Onpage: ÁO LEN","","2026-07-23","passed","2026-07-23","SEO TIÊU CHUẨN CƠ BẢN CHO WEB","seo.spec.ts","",""
"[FAIL] Điểm SEO: 53/100 | Đạt: 18/34 tiêu chí | Ngưỡng: 60%

TRUNG BÌNH","9942","[Advanced] Kiểm tra SEO chuyên sâu: Hàng bán chạy Best Seller","","2026-07-23","failed","2026-07-23","SEO TIÊU CHUẨN CHUYÊN SÂU (ADVANCED) — PHẦN B","seo-advanced.spec.ts","",""
"[PASS] Điểm SEO: 80/100 | Đạt: 36/45 tiêu chí | Ngưỡng: 70%

TỐT","6138","Kiểm tra SEO Onpage: ÁO","","2026-07-23","passed","2026-07-23","SEO TIÊU CHUẨN CƠ BẢN CHO WEB","seo.spec.ts","",""
"[PASS] Điểm SEO: 82/100 | Đạt: 37/45 tiêu chí | Ngưỡng: 70%

TỐT","11596","Kiểm tra SEO Onpage: MẮT KÍNH","","2026-07-23","passed","2026-07-23","SEO TIÊU CHUẨN CƠ BẢN CHO WEB","seo.spec.ts","",""
